Società,Email,Sito Internet,Sede Legale,Sede Operativa,Settori Attività
"Cleanpower
 Societa cooperativa a responsabilità limitata (S.c.r.l.)
 P.IVA 03404370276
 C.F. 03404370276
 Anno di costituzione 2002",info@cleanpowerenergia.it,www.cleanpowerenergia.it,"Via Lavaredo,
44/52 - 30174
VENEZIA(Venezia)","Via Lavaredo,
44/52 - 30174
VENEZIA(Venezia)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
"CMV ENERGIA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01565150388
 C.F. 01565150388
 Anno di costituzione 2002",info@cmvenergia.it,www.cmvenergia.it,"Via Via Malamini Baldassarre ,
1 - 44042
CENTO(Ferrara)","Via Via Malamini Baldassarre ,
1 - 44042
CENTO(Ferrara)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"COFELY  ITALIA S.p.A
 Società per azioni (S.p.a.)
 P.IVA 01698911003
 C.F. 07149930583
 Anno di costituzione 2010",info@sogee.it,,"Via Via Ostiense,
333 - 00146
ROMA(Roma)","Via Via Ostiense,
333 - 00146
ROMA(Roma)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"Cogenpower Gas & Power S.r.l.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 09970070018
 C.F. 09970070018
 Anno di costituzione 2009",gas@cogenpower.it,,"Corso C.so Re Umberto,
54 - 10128
TORINO(Torino)","Corso Cadorna,
11/B5 - 10071
BORGARO TORINESE(Torino)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"COGESER VENDITE S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 05941460965
 C.F. 05941460965
 Anno di costituzione 2007",,,"Via Via Martiri della Libertà,
18 - 20066
MELZO(Milano)","Via Via Martiri della Libertà,
18 - 20066
MELZO(Milano)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"COIMEPA SERVIZI S.U.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02796290365
 C.F. 02796290365
 Anno di costituzione 2002",ufficioutenti@coimepaservizi.com,www.coimepaservizi.com,"Via VIA MAURO TESI,
957 - 41059
ZOCCA(Modena)","Via VIA MAURO TESI,
957 - 41059
ZOCCA(Modena)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"CONFINDUSTRIA ENERGIA PESARO URBINO SOC. CONS. A R.L.
 Società consortile a responsabilità limitata (S.c.r.l.)
 P.IVA 01495880419
 C.F. 01495880419
 Anno di costituzione 1999",a.baroni@confindustria.pu.it,,"Via CURIEL,
35 - 61121
PESARO(Pesaro e Urbino)","Via CURIEL,
35 - 61121
PESARO(Pesaro e Urbino)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"CONSORZI ENERGETICI INDUSTRIALI RIUNITI - CEIR
 SOC.CONSORTILE A R.L.
 P.IVA 02125990461
 C.F. 02125990461
 Anno di costituzione 2008",ceir@assindustria.lu.it,,"Piazza BERNARDINI,
41 - 55100
LUCCA(Lucca)","Piazza BERNARDINI,
41 - 55100
LUCCA(Lucca)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"CONSORZIO ELETTRICO INDUSTRIALE DI STENICO S.C.
 Societa cooperativa a responsabilità limitata (S.c.r.l.)
 P.IVA 00124060229
 C.F. 00124060229
 Anno di costituzione 1905",info@ceis-stenico.it,,"Frazione Ponte Arche Via Marconi,
6 - 38071
BLEGGIO INFERIORE(Trento)","Frazione Ponte Arche Via Marconi,
6 - 38071
BLEGGIO INFERIORE(Trento)","a) produzione dell'energia elettrica 
 d) distribuzione dell'energia elettrica 
 e) misura dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica
 servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)
 altro"
"CONSORZIO ENERGETICO LUCCHESE CEL SOC. CONSORTILE A R.L.
 Società consortile a r.l.
 P.IVA 01769980465
 C.F. 92023890467
 Anno di costituzione 1999",,,"Via Piazza Bernardini,
41 - 55100
LUCCA(Lucca)","Via Piazza Bernardini,
41 - 55100
LUCCA(Lucca)",g) vendita a clienti liberi dell'energia elettrica
"CONSORZIO ENERGIA ASSINDUSTRIA VICENZA - ENERGINDUSTRIA
 
 P.IVA 02785440245
 C.F. 02785440245
 Anno di costituzione 1999",consorzio@energindustria.it,www.energindustria.it,"Piazza Castello,
3 - 36100
VICENZA(Vicenza)","Piazza Castello,
30 - 36100
VICENZA(Vicenza)",g) vendita a clienti liberi dell'energia elettrica
"CONSORZIO ENERGIA PULITA MULTIUTILITY
 Consorzio con attività esterna
 P.IVA 03221430238
 C.F. 03221430238
 Anno di costituzione 2000",,,"Viale del Lavoro,
33 - 37135
VERONA(Verona)","Viale del Lavoro,
33 - 37135
VERONA(Verona)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"Consorzio Fortore Energia
 Società Consortile
 P.IVA 03562690713
 C.F. 03562690713
 Anno di costituzione 2007",,,"Piazza della Repubblica,
5 - 71036
FOGGIA(Foggia)","Piazza dell'Arrigoni,
60 - 47023
CESENA(Forlì-Cesena)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica"
"CONSORZIO GROSSETO ENERGIA SCARL
 
 P.IVA 01251730535
 C.F. 01251730535
 Anno di costituzione 2001",,,"Via via Monterosa ,
196 - 58100
GROSSETO(Grosseto)","Via via Monterosa ,
196 - 58100
GROSSETO(Grosseto)",g) vendita a clienti liberi dell'energia elettrica
"CONSORZIO PRATO ENERGIA
 Consorzio con attività esterna
 P.IVA 01812470977
 C.F. 01812470977
 Anno di costituzione 1999",,,"Via Via Valentini,
14 - 59100
PRATO(Prato)","Via Via Valentini,
14 - 59100
PRATO(Prato)",g) vendita a clienti liberi dell'energia elettrica
"CO-VER ENERGY TRADING SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02015740034
 C.F. 02015740034
 Anno di costituzione 2005",coverenergytrading@co-ver-energy.it,www.co-ver-energy.it,"Via Via 42 Martiri ,
165 - 28924
VERBANIA(Verbano-Cusio-Ossola)","Via Via 42 Martiri ,
165 - 28924
VERBANIA(Verbano-Cusio-Ossola)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"C.U.RA CONSORZIO UTILITIES RAVENNA
 
 P.IVA 02019950399
 C.F. 02019950399
 Anno di costituzione 2000",info@curaenergy.it,www.curaenergy.it,"Via via Barbiani ,
8/10 - 48100
RAVENNA(Ravenna)","Via Granarolo ,
175/3 - 48018
FAENZA(Ravenna)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"CVA TRADING SRL A SU
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01032450072
 C.F. 01032450072
 Anno di costituzione 2001",biagini.angelo@cvaspa.it,www.cvatrading-ao.it,"Via Via Stazione,
31 - 11024
CHATILLON(Aosta)","Via Via Stazione,
31 - 11024
CHATILLON(Aosta)",g) vendita a clienti liberi dell'energia elettrica
"DM SPA
 Società per azioni (S.p.a.)
 P.IVA 03856960962
 C.F. 03856960962
 Anno di costituzione 2003",dmimpianti@dmimpianti.com,www.dmimpianti.com,"Via Sant'Anatalone,
8 - 20147
MILANO(Milano)","Via Sant'Anatalone,
8 - 20147
MILANO(Milano)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"DUFERCO ENERGIA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02356770988
 C.F. 02356770988
 Anno di costituzione 2002",,,"Via Armando Diaz ,
248 - 25010
SAN ZENO NAVIGLIO(Brescia)","Via Armando Diaz ,
248 - 25010
SAN ZENO NAVIGLIO(Brescia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"DYNAMEETING SPA
 Società per azioni (S.p.a.)
 P.IVA 13181080154
 C.F. 13181080154
 Anno di costituzione 2001",info@dynameeting.it,www.dynameeting.it,"Via Uberti,
37 - 20129
MILANO(Milano)","Via Uberti,
37 - 20129
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale
 attività non riconducibili ai settori dell'energia elettrica e del gas"
"EDELWEISS ENERGIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 03258290166
 C.F. 03258290166
 Anno di costituzione 2005",info@edelweiss-energia.it,,"Via Vittorio Veneto,
42 - 24067
SARNICO(Bergamo)","Via Vittorio Veneto,
42 - 24067
SARNICO(Bergamo)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"EDISON ENERGIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 08526440154
 C.F. 08526440154
 Anno di costituzione 1986",lorenzo.sessa@edison.it,www.edisonenergia.it,"Via Foro Buonaparte,
31 - 20121
MILANO(Milano)","Via Foro Buonaparte,
31 - 20121
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"EGEA COMMERCIALE SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02439760162
 C.F. 02439760162
 Anno di costituzione 2002",egea@egea.it,www.egea.it,"Via VIA VIVARO,
3 - 12051
ALBA(Cuneo)","Via VIA VIVARO,
3 - 12051
ALBA(Cuneo)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"EGI SPA
 Società per azioni (S.p.a.)
 P.IVA 02672380546
 C.F. 02672380546
 Anno di costituzione 2003",info@egispa.it,www.egispa.it,"Via FRATTINA ,
89 - 00187
ROMA(Roma)","Via Kennedy ,
1 - 06080
TORGIANO(Perugia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica"
"EGL ITALIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01141160992
 C.F. 01141160992
 Anno di costituzione 2000",,http://www.egl-italia.it,"Via Via Antica Fiumara,
6 - 16149
GENOVA(Genova)","Via Via Antica Fiumara,
6 - 16149
GENOVA(Genova)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"EL.EA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 06131970961
 C.F. 06131970961
 Anno di costituzione 2008",,,"Via MIRAMARE,
15 - 20126
MILANO(Milano)","Via MIRAMARE,
15 - 20126
MILANO(Milano)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica 
 altro"
"ELECTRA ITALIA SPA
 Società per azioni (S.p.a.)
 P.IVA 12863050154
 C.F. 12863050154
 Anno di costituzione 1999",,www.electraitalia.com,"Via Largo Donegani ,
2 - 20121
MILANO(Milano)","Via G. Fara,
28 - 20124
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ELECTRADE
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03294530245
 C.F. 03294530245
 Anno di costituzione 2006",info@electrade.it,www.electrade.it,"Via Verci,
8 - 36061
BASSANO DEL GRAPPA(Vicenza)","Via B. Telesio,
23 - 20145
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 altro"
"ELETTROGREEN S.p.A.
 Società per azioni (S.p.a.)
 P.IVA 01461920991
 C.F. 01461920991
 Anno di costituzione 2005",info@elettrogreen.com,www.elettrogreen.com,"Via G.Spadolini,
7 - 20141
MILANO(Milano)","Via via Carducci,
5 - 16121
GENOVA(Genova)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"ELGASUD S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 06517750722
 C.F. 06517750722
 Anno di costituzione 2006",,,"Via VIA MONTEGRAPPA,
6 - 70059
TRANI(Bari)","Via VIA MONTEGRAPPA,
6 - 70059
TRANI(Bari)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ENECO ENERGIA SPA
 Società per azioni (S.p.a.)
 P.IVA 00769140211
 C.F. 00769140211
 Anno di costituzione 2000",luca.derosa@enecoenergiaspa.it,www.enecoenergiaspa.it,"Via via Galilei,
10 - 39100
Bolzano/Bozen(Bolzano/Bozen)","Via via Galilei,
10 - 39100
Bolzano/Bozen(Bolzano/Bozen)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"ENEGAN SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 06017420487
 C.F. 06017420487
 Anno di costituzione 2010",info@enegan.it,www.enegan.it,"Viale SPARTACO LAVAGNINI,
20 - 50129
FIRENZE(Firenze)","Via URBANIA,
12 - 50056
MONTELUPO FIORENTINO(Firenze)",g) vendita a clienti liberi dell'energia elettrica
"ENEIDE S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 00831140942
 C.F. 00831140942
 Anno di costituzione 2003",,,"Località LOCALITA' BRECCELLE,
snc - 86170
ISERNIA(Isernia)","Località LOCALITA' BRECCELLE,
snc - 86170
ISERNIA(Isernia)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"ENEL ENERGIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 06655971007
 C.F. 06655971007
 Anno di costituzione 2001",,www.enelenergia.it,"Viale Regina Margherita,
125 - 00198
ROMA(Roma)","Viale Regina Margherita,
125 - 00198
ROMA(Roma)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 s) vendita a clienti finali del gas naturale
 t) distribuzione, misura e vendita di altri gas a mezzo di reti"
"ENER   S.A.
 Società per azioni (S.p.a.)
 P.IVA EL998380210
 C.F. EL998380210
 Anno di costituzione 2007",info@enersa.gr,www.enersa.gr,"Corso CHRISOSTOMOU ,
25 - 121 32   ATHENS
null(Z115)","Corso CHRISOSTOMOU ,
25 - 121 32   ATHENS
null(Z115)","b) trasmissione dell'energia elettrica
 d) distribuzione dell'energia elettrica 
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 i) attività elettriche estere"
"EN.E.R. TRADING
 Società per azioni (S.p.a.)
 P.IVA 02116200391
 C.F. 02116200391
 Anno di costituzione 2003",info@ener.it,,"Via Via Granarolo ,
175/3 - 48018
FAENZA(Ravenna)","Via Via Granarolo ,
175/3 - 48018
FAENZA(Ravenna)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ENERCOM S.R.L.
 Società a rsponsabilità limitata con unico socio
 P.IVA 01262680190
 C.F. 01262680190
 Anno di costituzione 2002",,,"Via S. Chiara ,
9 - 26013
CREMA(Cremona)","Via S. Chiara ,
9 - 26013
CREMA(Cremona)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"ENERGETIC SOURCE SPA Unipersonale
 Società per azioni (S.p.a.)
 P.IVA 03338650173
 C.F. 03338650173
 Anno di costituzione 1996",,www.energetisource.it,"Via VIA DONATORI DI SANGUE,
6D - 25050
PADERNO FRANCIACORTA(Brescia)","Via VIA DONATORI DI SANGUE,
6D - 25050
PADERNO FRANCIACORTA(Brescia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ENERGETYCA
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02948660168
 C.F. 02948660168
 Anno di costituzione 2002",,,"Via Via Monte Sabotino ,
2 - 24121
BERGAMO(Bergamo)","Via Via Monte Sabotino ,
2 - 24121
BERGAMO(Bergamo)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"ENERGHE S.p.A.
 Società per azioni (S.p.a.)
 P.IVA 03145780049
 C.F. 03145780049
 Anno di costituzione 2007",energhe@ferrero.com,WWW.ENERGHE.COM,"Via PIETRO FERRERO,
25 - 12051
ALBA(Cuneo)","Via FERRERO ,
1 - 12051
ALBA(Cuneo)","a) produzione dell'energia elettrica 
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 i) attività elettriche estere"
"+Energia 
 Società per azioni (S.p.a.)
 P.IVA 01244170526
 C.F. 01244170526
 Anno di costituzione 2008",info@piuenergiaelettrica.it,www.piuenergiaelettrica.it,"Via Fedeli,
2 - 06034
FOLIGNO(Perugia)","Via Fedeli,
2 - 06034
FOLIGNO(Perugia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica"
"ENERGIA CORRENTE
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03672520404
 C.F. 03672520404
 Anno di costituzione 2007",,www.energiacorrente.it,"Via Via dell'Arrigoni,
60 - 47023
CESENA(Forlì-Cesena)","Via Via dell'Arrigoni,
60 - 47023
CESENA(Forlì-Cesena)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica"
"ENERGIA LUCANA
 Società per azioni (S.p.a.)
 P.IVA 01064680778
 C.F. 01064680778
 Anno di costituzione 2002",,,"Via via pomarico ,
snc - 75015
PISTICCI(Matera)","Via viviani ,
12 - 20124
MILANO(Milano)",g) vendita a clienti liberi dell'energia elettrica
"ENERGIA MEDITERRANEA S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02501710780
 C.F. 02501710780
 Anno di costituzione 2002",info@enem.it,www.enem.it,"Via Popilia,
250/N - 87100
COSENZA(Cosenza)","Via Popilia,
250/N - 87100
COSENZA(Cosenza)",g) vendita a clienti liberi dell'energia elettrica
"energiattiva s.r.l.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02005680513
 C.F. 02005680513
 Anno di costituzione 2009",info@energiattiva.it,www.energiattiva.it,"Via caduti partigiani,
32 - 52010
BIBBIENA(Arezzo)","Via caduti partigiani,
32 - 52010
BIBBIENA(Arezzo)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
"Energia2.0 Srl
 Società a responsabilita limitata (S.r.l.)
 P.IVA 10208461003
 C.F. 10208461003
 Anno di costituzione 2008",info@energiaduepuntozero.it,www.energiaduepuntozero.it,"Via ostriana ,
12 - 00199
ROMA(Roma)","Via ostriana ,
12 - 00199
ROMA(Roma)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica"
"ENERG.IT S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 02605060926
 C.F. 02605060926
 Anno di costituzione 2000",amministrazione@energit.it,www.energit.it,"Via Edward Jenner ,
19/21 - 09121
CAGLIARI(Cagliari)","Via Edward Jenner ,
19/21 - 09121
CAGLIARI(Cagliari)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"ENERGRID
 Società per azioni (S.p.a.)
 P.IVA 08600990017
 C.F. 08600990017
 Anno di costituzione 2003",info@energrid.it,www.energrid.it,"Viale ISONZO,
14/1 - 20135
MILANO(Milano)","Via Piffetti,
15 - 10143
TORINO(Torino)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ENERGY PLUS
 Società a responsabilita limitata (S.r.l.)
 P.IVA 05351110969
 C.F. 05351110969
 Anno di costituzione 2006",padacot@libero.it,www.energyplus.it,"Via G. B. Tiepolo,
21 - 00196
ROMA(Roma)","Via G. B. Tiepolo,
21 - 00196
ROMA(Roma)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"ENERGY TRADING INTERNATIONAL 
 Società a responsabilita limitata (S.r.l.)
 P.IVA 10229031009
 C.F. 10229031009
 Anno di costituzione 2008",p.cotesta@energyti.it,www.energytradinginternational.it,"Via VINCENZO CIAFFI,
26 - 00142
ROMA(Roma)","Via G. B. Tiepolo,
21 - 00196
ROMA(Roma)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ENERGY WATT
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02417920986
 C.F. 02417920986
 Anno di costituzione 2003",info@energywatt.it,www.energywatt.it,"Via C. Colombo,
27 - 25013
CARPENEDOLO(Brescia)","Via C. Colombo,
27 - 25013
CARPENEDOLO(Brescia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"ENERGYCA S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 05279670961
 C.F. 05279670961
 Anno di costituzione 2006",info@energyca.it,www.energyca.it,"Via Via Dante,
15 - 26845
CODOGNO(Lodi)","Via Via Dante,
15 - 26845
CODOGNO(Lodi)","a) produzione dell'energia elettrica 
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"Energy.Dis srl
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02254400217
 C.F. 02254400217
 Anno di costituzione 2001",info@energy-dis.it,www.energy-dis.it,"Via Julius Durst,
6 - 39042
Bressanone/Brixen(Bolzano/Bozen)","Via Julius Durst,
6 - 39042
Bressanone/Brixen(Bolzano/Bozen)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"ENI S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 00905811006
 C.F. 00484960588
 Anno di costituzione 1992",michele.pizzolato@eni.it,www.eni.it,"Piazza Enrico Mattei ,
1 - 00144
ROMA(Roma)","Piazza Vanoni,
1 - 20097
SAN DONATO MILANESE(Milano)","a) produzione dell'energia elettrica 
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 i) attività elettriche estere
 k) coltivazione di gas naturale
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 t) distribuzione, misura e vendita di altri gas a mezzo di reti
 u) attività gas estere attività non riconducibili ai settori dell'energia elettrica e del gas
 servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)
 altro"
"ENIA ENERGIA S.P.A
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02220020347
 C.F. 02220020347
 Anno di costituzione 2003",info@eniaenergia.it,www.eniaenergia.it,"Via Via Nubi di Magellano, 40,
30 - 42100
REGGIO NELL'EMILIA(Reggio nell'Emilia)","Via Via Nubi di Magellano, 40,
30 - 42100
REGGIO NELL'EMILIA(Reggio nell'Emilia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ENIPOWER
 Società per azioni (S.p.a.)
 P.IVA 12958270154
 C.F. 12958270154
 Anno di costituzione 1999",area.normativa@enipower.eni.it,www.enipower.eni.it,"Piazza Vanoni,
1 - 20097
SAN DONATO MILANESE(Milano)","Piazza Vanoni,
1 - 20097
SAN DONATO MILANESE(Milano)","a) produzione dell'energia elettrica 
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 produzione combinata di energia elettrica e termica quando il rapporto tra quantità di energia elettrica ed energia termica è inferiore a 1
 altro"
"EniServizi
 Società per azioni (S.p.a.)
 P.IVA 11665650153
 C.F. 11665650153
 Anno di costituzione 1995",,,"Piazza Ezio Vanoni,
1 - 20097
SAN DONATO MILANESE(Milano)","Piazza Agadir,
34 - 20097
SAN DONATO MILANESE(Milano)","a) produzione dell'energia elettrica 
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"E.ON Energia S.p.A.
 Società per azioni (S.p.a.)
 P.IVA 03429130234
 C.F. 03429130234
 Anno di costituzione 2004",,www.eon-energia.com,"Via A. Vespucci,
2 - 20124
MILANO(Milano)","Via E. Fermi,
15 - 37135
VERONA(Verona)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"E.ON EUROPA POWER&FUEL SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 08494031001
 C.F. 08494031001
 Anno di costituzione 2005",ermete.lombardi@eon.com,,"- VOCABOLO VALLE frazione PAPIGNO  ,
9 - 05100
TERNI(Terni)","- VOCABOLO VALLE frazione PAPIGNO  ,
9 - 05100
TERNI(Terni)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"E.ON ITALIA POWER & FUEL S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 07238471002
 C.F. 07238471002
 Anno di costituzione 2002",ermete.lombardi@eon.com,,"Via Vocabolo Valle ,
9 - 05100
TERNI(Terni)","Via Vocabolo Valle ,
9 - 05100
TERNI(Terni)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"E.ON PRODUZIONE S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 03251970962
 C.F. 03251970962
 Anno di costituzione 2004",fabio.vigorito@eon.com,,"Via VIA G. MANGILI,
9 - 00197
ROMA(Roma)","Via VIA G. MANGILI,
9 - 00197
ROMA(Roma)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
